"","Estado","Registros","Ano","Mês","Região"
"1","Acre",249,"2015","Janeiro","Todas"
"2","Alagoas",897,"2015","Janeiro","Todas"
"3","Amapá",232,"2015","Janeiro","Todas"
"4","Amazonas",420,"2015","Janeiro","Todas"
"5","Bahia",4438,"2015","Janeiro","Todas"
"6","Ceará",604,"2015","Janeiro","Todas"
"7","Distrito Federal",1280,"2015","Janeiro","Todas"
"8","Espírito Santo",2007,"2015","Janeiro","Todas"
"9","Goiás",2206,"2015","Janeiro","Todas"
"10","Maranhão",250,"2015","Janeiro","Todas"
"11","Mato Grosso",1306,"2015","Janeiro","Todas"
"12","Mato Grosso do Sul",656,"2015","Janeiro","Todas"
"13","Minas Gerais",9953,"2015","Janeiro","Todas"
"14","Pará",329,"2015","Janeiro","Todas"
"15","Paraíba",1542,"2015","Janeiro","Todas"
"16","Paraná",5939,"2015","Janeiro","Todas"
"17","Pernambuco",5039,"2015","Janeiro","Todas"
"18","Piauí",219,"2015","Janeiro","Todas"
"19","Rio de Janeiro",4726,"2015","Janeiro","Todas"
"20","Rio Grande do Norte",401,"2015","Janeiro","Todas"
"21","Rio Grande do Sul",5236,"2015","Janeiro","Todas"
"22","Rondônia",542,"2015","Janeiro","Todas"
"23","Roraima",89,"2015","Janeiro","Todas"
"24","Santa Catarina",2619,"2015","Janeiro","Todas"
"25","São Paulo",26242,"2015","Janeiro","Todas"
"26","Sergipe",911,"2015","Janeiro","Todas"
"27","Tocantins",286,"2015","Janeiro","Todas"
"28","Acre",178,"2016","Janeiro","Todas"
"29","Alagoas",1017,"2016","Janeiro","Todas"
"30","Amapá",182,"2016","Janeiro","Todas"
"31","Amazonas",488,"2016","Janeiro","Todas"
"32","Bahia",4858,"2016","Janeiro","Todas"
"33","Ceará",1320,"2016","Janeiro","Todas"
"34","Distrito Federal",1183,"2016","Janeiro","Todas"
"35","Espírito Santo",1794,"2016","Janeiro","Todas"
"36","Goiás",2151,"2016","Janeiro","Todas"
"37","Maranhão",416,"2016","Janeiro","Todas"
"38","Mato Grosso",1388,"2016","Janeiro","Todas"
"39","Mato Grosso do Sul",1134,"2016","Janeiro","Todas"
"40","Minas Gerais",10239,"2016","Janeiro","Todas"
"41","Pará",1147,"2016","Janeiro","Todas"
"42","Paraíba",1850,"2016","Janeiro","Todas"
"43","Paraná",5878,"2016","Janeiro","Todas"
"44","Pernambuco",4710,"2016","Janeiro","Todas"
"45","Piauí",621,"2016","Janeiro","Todas"
"46","Rio de Janeiro",5260,"2016","Janeiro","Todas"
"47","Rio Grande do Norte",541,"2016","Janeiro","Todas"
"48","Rio Grande do Sul",5504,"2016","Janeiro","Todas"
"49","Rondônia",648,"2016","Janeiro","Todas"
"50","Roraima",79,"2016","Janeiro","Todas"
"51","Santa Catarina",2765,"2016","Janeiro","Todas"
"52","São Paulo",23266,"2016","Janeiro","Todas"
"53","Sergipe",1024,"2016","Janeiro","Todas"
"54","Tocantins",329,"2016","Janeiro","Todas"
"55","Acre",314,"2017","Janeiro","Todas"
"56","Alagoas",1133,"2017","Janeiro","Todas"
"57","Amapá",207,"2017","Janeiro","Todas"
"58","Amazonas",231,"2017","Janeiro","Todas"
"59","Bahia",5025,"2017","Janeiro","Todas"
"60","Ceará",2853,"2017","Janeiro","Todas"
"61","Distrito Federal",1201,"2017","Janeiro","Todas"
"62","Espírito Santo",2015,"2017","Janeiro","Todas"
"63","Goiás",2685,"2017","Janeiro","Todas"
"64","Maranhão",596,"2017","Janeiro","Todas"
"65","Mato Grosso",1399,"2017","Janeiro","Todas"
"66","Mato Grosso do Sul",1215,"2017","Janeiro","Todas"
"67","Minas Gerais",11404,"2017","Janeiro","Todas"
"68","Pará",973,"2017","Janeiro","Todas"
"69","Paraíba",1931,"2017","Janeiro","Todas"
"70","Paraná",6030,"2017","Janeiro","Todas"
