"","Estado","Registros","Ano","Mês","Região"
"1","Acre",249,"2015","Janeiro","Todas"
"2","Alagoas",897,"2015","Janeiro","Todas"
"3","Amapá",232,"2015","Janeiro","Todas"
"4","Amazonas",420,"2015","Janeiro","Todas"
"5","Bahia",4132,"2015","Janeiro","Todas"
"6","Ceará",602,"2015","Janeiro","Todas"
"7","Distrito Federal",1280,"2015","Janeiro","Todas"
"8","Espírito Santo",2002,"2015","Janeiro","Todas"
"9","Goiás",2204,"2015","Janeiro","Todas"
"10","Maranhão",225,"2015","Janeiro","Todas"
"11","Mato Grosso",1383,"2015","Janeiro","Todas"
"12","Mato Grosso do Sul",642,"2015","Janeiro","Todas"
"13","Minas Gerais",9936,"2015","Janeiro","Todas"
"14","Pará",326,"2015","Janeiro","Todas"
"15","Paraíba",1533,"2015","Janeiro","Todas"
"16","Paraná",5939,"2015","Janeiro","Todas"
"17","Pernambuco",5012,"2015","Janeiro","Todas"
"18","Piauí",219,"2015","Janeiro","Todas"
"19","Rio de Janeiro",4569,"2015","Janeiro","Todas"
"20","Rio Grande do Norte",394,"2015","Janeiro","Todas"
"21","Rio Grande do Sul",5189,"2015","Janeiro","Todas"
"22","Rondônia",544,"2015","Janeiro","Todas"
"23","Roraima",89,"2015","Janeiro","Todas"
"24","Santa Catarina",2613,"2015","Janeiro","Todas"
"25","São Paulo",26246,"2015","Janeiro","Todas"
"26","Sergipe",908,"2015","Janeiro","Todas"
"27","Tocantins",286,"2015","Janeiro","Todas"
"28","Acre",178,"2016","Janeiro","Todas"
"29","Alagoas",1017,"2016","Janeiro","Todas"
"30","Amapá",182,"2016","Janeiro","Todas"
"31","Amazonas",488,"2016","Janeiro","Todas"
"32","Bahia",4235,"2016","Janeiro","Todas"
"33","Ceará",1314,"2016","Janeiro","Todas"
"34","Distrito Federal",1183,"2016","Janeiro","Todas"
"35","Espírito Santo",1793,"2016","Janeiro","Todas"
"36","Goiás",2111,"2016","Janeiro","Todas"
"37","Maranhão",397,"2016","Janeiro","Todas"
"38","Mato Grosso",1468,"2016","Janeiro","Todas"
"39","Mato Grosso do Sul",1113,"2016","Janeiro","Todas"
"40","Minas Gerais",10240,"2016","Janeiro","Todas"
"41","Pará",1133,"2016","Janeiro","Todas"
"42","Paraíba",1847,"2016","Janeiro","Todas"
"43","Paraná",5877,"2016","Janeiro","Todas"
"44","Pernambuco",4705,"2016","Janeiro","Todas"
"45","Piauí",621,"2016","Janeiro","Todas"
"46","Rio de Janeiro",4823,"2016","Janeiro","Todas"
"47","Rio Grande do Norte",539,"2016","Janeiro","Todas"
"48","Rio Grande do Sul",5405,"2016","Janeiro","Todas"
"49","Rondônia",644,"2016","Janeiro","Todas"
"50","Roraima",81,"2016","Janeiro","Todas"
"51","Santa Catarina",2762,"2016","Janeiro","Todas"
"52","São Paulo",23255,"2016","Janeiro","Todas"
"53","Sergipe",1025,"2016","Janeiro","Todas"
"54","Tocantins",329,"2016","Janeiro","Todas"
"55","Acre",314,"2017","Janeiro","Todas"
"56","Alagoas",1114,"2017","Janeiro","Todas"
"57","Amapá",207,"2017","Janeiro","Todas"
"58","Amazonas",224,"2017","Janeiro","Todas"
"59","Bahia",4796,"2017","Janeiro","Todas"
"60","Ceará",2852,"2017","Janeiro","Todas"
"61","Distrito Federal",1201,"2017","Janeiro","Todas"
"62","Espírito Santo",2010,"2017","Janeiro","Todas"
"63","Goiás",2641,"2017","Janeiro","Todas"
"64","Maranhão",591,"2017","Janeiro","Todas"
"65","Mato Grosso",1476,"2017","Janeiro","Todas"
"66","Mato Grosso do Sul",1200,"2017","Janeiro","Todas"
"67","Minas Gerais",11402,"2017","Janeiro","Todas"
"68","Pará",965,"2017","Janeiro","Todas"
"69","Paraíba",1929,"2017","Janeiro","Todas"
"70","Paraná",6026,"2017","Janeiro","Todas"
